City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
"New York, NY, United States",100.0,100.0,100.0,100.0,100.0,100.0
"San Francisco, CA, United States",90.8,79.3,85.8,102.8,90.3,159.2
"Honolulu, HI, United States",87.0,58.0,74.2,102.6,85.3,104.0
"Boston, MA, United States",83.6,74.4,79.5,92.0,90.2,131.3
"Seattle, WA, United States",81.7,58.6,71.5,90.4,84.3,172.7
"Washington, DC, United States",81.0,69.8,76.1,85.6,85.0,141.6
"San Diego, CA, United States",78.5,68.2,74.0,78.5,82.7,136.3
"Los Angeles, CA, United States",76.8,63.5,70.9,82.2,86.0,131.3
"Sacramento, CA, United States",76.3,49.6,64.5,86.2,71.6,129.5
"Philadelphia, PA, United States",75.6,42.1,60.8,90.5,73.1,129.5
"Chicago, IL, United States",73.4,54.4,65.0,81.8,83.6,144.1
"New Orleans, LA, United States",73.3,40.4,58.8,75.6,92.8,120.5
"Miami, FL, United States",72.6,69.5,71.2,73.5,84.1,100.7
"Atlanta, GA, United States",72.4,42.4,59.2,87.0,74.7,167.8
"Denver, CO, United States",72.3,50.9,62.9,77.2,75.9,150.4
"Portland, OR, United States",71.6,46.0,60.3,77.3,70.7,147.0
"Pittsburgh, PA, United States",70.4,37.8,56.1,86.2,63.9,142.7
"Tampa, FL, United States",69.9,46.3,59.5,80.1,72.3,149.4
"Charlotte, NC, United States",69.2,48.9,60.3,82.4,66.5,136.0
"Minneapolis, MN, United States",69.0,36.2,54.5,79.8,74.8,155.4
"Raleigh, NC, United States",68.8,43.5,57.6,80.7,66.2,151.3
"Nashville, TN, United States",67.9,48.4,59.3,77.5,69.3,139.3
"Dallas, TX, United States",67.0,46.6,58.0,71.2,67.9,165.5
"Columbus, OH, United States",67.0,36.9,53.7,74.6,67.9,137.7
"Baltimore, MD, United States",66.9,42.6,56.2,79.7,66.4,136.6
"Victoria, Canada",65.3,38.3,53.4,77.7,64.8,88.4
"Las Vegas, NV, United States",65.2,38.7,53.5,65.8,73.9,140.1
"Orlando, FL, United States",64.9,44.7,56.0,72.7,71.2,145.4
"Vancouver, Canada",64.8,47.2,57.1,73.9,66.2,104.5
"Madison, WI, United States",64.6,40.1,53.8,72.4,64.8,150.4
"Phoenix, AZ, United States",64.3,38.1,52.8,66.6,72.2,155.3
"Saint Louis, MO, United States",63.8,35.4,51.3,70.3,69.7,164.2
"Toronto, Canada",63.5,41.5,53.8,67.2,66.4,107.3
"Salt Lake City, UT, United States",63.1,39.1,52.5,68.1,68.8,151.0
"Tucson, AZ, United States",62.7,32.7,49.5,67.2,69.6,132.8
"Austin, TX, United States",62.4,49.5,56.7,68.1,67.1,172.2
"Calgary, Canada",62.3,32.6,49.2,70.0,60.8,119.0
"Kelowna, Canada",61.7,31.9,48.5,71.4,59.9,97.6
"Houston, TX, United States",61.5,40.6,52.3,65.6,68.0,153.5
"Jacksonville, FL, United States",61.2,38.5,51.2,66.6,71.0,142.2
"Halifax, Canada",60.4,33.7,48.6,70.0,57.6,100.4
"Saskatoon, Canada",60.4,24.2,44.4,66.8,63.5,103.8
"Ottawa, Canada",60.1,32.5,47.9,66.2,63.3,124.2
"San Antonio, TX, United States",59.3,35.1,48.6,62.1,65.5,157.3
"Montreal, Canada",59.1,27.7,45.3,70.2,59.8,111.9
"Edmonton, Canada",58.8,26.2,44.5,67.0,56.8,123.2
"Mississauga, Canada",58.5,40.3,50.5,59.9,56.5,118.1
"Quebec City, Canada",57.8,20.5,41.3,66.1,56.7,116.4
"Winnipeg, Canada",57.0,22.6,41.8,63.9,58.9,111.1
"Regina, Canada",55.6,21.2,40.4,66.5,56.2,114.1
"London, Canada",54.8,33.0,45.2,60.0,58.9,106.5
"Cincinnati, OH, United States",54.8,35.6,46.3,61.3,54.4,158.3
